Rank,Release Group,Worldwide,Domestic,%,Foreign,%
137,2021 Oscar Nominated Short Films: Live Action,"$130,264","$130,264",100%,-,-
138,Scarecrow,"$128,665",-,-,"$128,665",100%
139,Anything for Jackson,"$116,317",-,-,"$116,317",100%
140,Jurassic World 2021 Re-release,"$115,000","$115,000",100%,-,-
141,The World to Come,"$114,379","$114,379",100%,-,-
142,The Priest,"$110,855",-,-,"$110,855",100%
143,The Lord of the Rings: The Return of the King 2021 Re-release,"$106,953",-,-,"$106,953",100%
144,Shades Of The Heart,"$106,897",-,-,"$106,897",100%
145,Redemption Day,"$106,365",-,-,"$106,365",100%
146,Our Friend 2021 Re-release,"$100,668",-,-,"$100,668",100%
147,Safer at Home,"$100,323","$95,643",95.3%,"$4,680",4.7%
148,From the Vine,"$99,809",-,-,"$99,809",100%
149,Rang De,"$91,817",-,-,"$91,817",100%
150,Breaking News in Yuba County,"$90,933",-,-,"$90,933",100%
151,Khara Khaar,"$89,983",-,-,"$89,983",100%
152,Breakout Brothers,"$85,037",-,-,"$85,037",100%
153,The Lord of the Rings: The Two Towers 2021 Re-release,"$84,102",-,-,"$84,102",100%
154,Hvernig á að vera Klassa Drusla,"$82,183",-,-,"$82,183",100%
155,Belleville Cop 2021 Re-release,"$77,657",-,-,"$77,657",100%
156,My Missing Valentine,"$74,787",-,-,"$74,787",100%
157,Song Song,"$74,389",-,-,"$74,389",100%
158,The Lord of the Rings: The Fellowship of the Ring 2021 Re-release,"$73,409",-,-,"$73,409",100%
159,Simple Passion,"$72,358",-,-,"$72,358",100%
160,Russia from Above,"$71,629",-,-,"$71,629",100%
161,Son,"$69,739","$55,068",79%,"$14,671",21%
162,Mick Fleetwood & Friends celebrate the music of Peter Green,"$66,074",-,-,"$66,074",100%
163,Remember the Titans 2021 Re-release,"$65,000","$65,000",100%,-,-
164,Come True,"$62,080","$62,080",100%,-,-
165,Haunted,"$54,903",-,-,"$54,903",100%
166,Sing 2021 Re-release,"$53,462","$53,000",99.1%,$462,0.9%
167,Dara of Jasenovac,"$52,786","$52,786",100%,-,-
168,The Wall of Shadows,"$52,104",-,-,"$52,104",100%
169,My Zoe,"$50,820","$50,820",100%,-,-
170,Harry Potter and the Sorcerer's Stone 2021 Re-release,"$50,509",-,-,"$50,509",100%
171,Days of the Bagnold Summer,"$50,118",-,-,"$50,118",100%
172,Last Call,"$48,144","$48,144",100%,-,-
173,Reel Rock 15,"$47,226",-,-,"$47,226",100%
174,Maledetto Modigliani,"$46,035",-,-,"$46,035",100%
175,MLK/FBI,"$45,200","$45,200",100%,-,-
176,A Distant Place 2021 Re-release,"$44,768",-,-,"$44,768",100%
177,Harry Potter and the Deathly Hallows: Part 1 2021 Re-release,"$44,240",-,-,"$44,240",100%
178,Some Kind of Heaven,"$43,492","$43,492",100%,-,-
179,Harry Potter and the Goblet of Fire 2021 Re-release,"$42,124",-,-,"$42,124",100%
180,Little Fish,"$39,053","$39,053",100%,-,-
181,10 Things We Should Do Before We Break Up,"$38,362",-,-,"$38,362",100%
182,SAS: Red Notice,"$34,949",-,-,"$34,949",100%
183,Kieu @,"$34,914",-,-,"$34,914",100%
184,The People Upstairs,"$33,404",-,-,"$33,404",100%
185,Honeydew,"$32,890","$32,890",100%,-,-
186,Fighter,"$32,838",-,-,"$32,838",100%
187,"Botticelli, Florence And The Medici","$31,027",-,-,"$31,027",100%
188,Bloody Hell,"$28,037","$28,037",100%,-,-
189,Playhouse,"$27,436",-,-,"$27,436",100%
190,Brave Father Online: Our Story of Final Fantasy XIV 2021 Re-release,"$27,203",-,-,"$27,203",100%
191,Daisy Quokka: World's Scariest Animal,"$26,960",-,-,"$26,960",100%
192,The Night,"$26,114","$26,114",100%,-,-
193,Harry Potter and the Prisoner of Azkaban 2021 Re-release,"$24,638",-,-,"$24,638",100%
194,Fear of Rain,"$24,565",-,-,"$24,565",100%
195,Breaking the Waves 2021 Re-release,"$23,500",-,-,"$23,500",100%
196,The Voice of the Moon,"$23,222",-,-,"$23,222",100%
197,The Redeemers,"$22,283",-,-,"$22,283",100%
198,My Big Mama's Crazy Ride,"$22,004",-,-,"$22,004",100%
199,The Penitent Thief,"$21,083",-,-,"$21,083",100%
200,Big Miracle 2021 Re-release,"$20,846",-,-,"$20,846",100%
201,Korporatsiya Ad Libitum,"$20,779",-,-,"$20,779",100%
202,Beyond the Sky,"$19,761",-,-,"$19,761",100%
203,Kazdy ma swoje lato,"$19,619",-,-,"$19,619",100%
204,The Pinkies Are Back,"$18,962",-,-,"$18,962",100%
205,Dreamfactory 2021 Re-release,"$18,854",-,-,"$18,854",100%
206,Dead Reckoning,"$18,016",-,-,"$18,016",100%
