Rank,Release Group,Worldwide,Domestic,%,Foreign,%
121,The Only Way Out,"$224,003",-,-,"$224,003",100%
122,The Vault,"$203,356",-,-,"$203,356",100%
123,"Have Fun, Vasya! Date in Bali","$199,291",-,-,"$199,291",100%
124,Go Back,"$190,002",-,-,"$190,002",100%
125,The Child Who Would Not Come,"$187,589",-,-,"$187,589",100%
126,Kill It and Leave This Town,"$183,771",-,-,"$183,771",100%
127,Um Tio Quase Perfeito 2,"$180,607",-,-,"$180,607",100%
128,Sound of Metal,"$173,395",-,-,"$173,395",100%
129,Groundhog Day 2021 Re-release,"$166,447","$166,447",100%,-,-
130,The Reckoning,"$163,594","$143,532",87.7%,"$20,062",12.3%
131,Blind,"$147,131",-,-,"$147,131",100%
132,No Man's Land,"$139,221","$139,221",100%,-,-
133,Food Club,"$135,184",-,-,"$135,184",100%
134,Scarecrow,"$128,665",-,-,"$128,665",100%
135,Jurassic World 2021 Re-release,"$115,000","$115,000",100%,-,-
136,The World to Come,"$114,379","$114,379",100%,-,-
137,The Priest,"$110,225",-,-,"$110,225",100%
138,Anything for Jackson,"$109,556",-,-,"$109,556",100%
139,The Lord of the Rings: The Return of the King 2021 Re-release,"$106,953",-,-,"$106,953",100%
140,Redemption Day,"$106,365",-,-,"$106,365",100%
141,Safer at Home,"$100,323","$95,643",95.3%,"$4,680",4.7%
142,Our Friend 2021 Re-release,"$100,203",-,-,"$100,203",100%
143,From the Vine,"$99,809",-,-,"$99,809",100%
144,Breaking News in Yuba County,"$90,933",-,-,"$90,933",100%
145,Khara Khaar,"$89,983",-,-,"$89,983",100%
146,The Elfkins 2021 Re-release,"$86,814",-,-,"$86,814",100%
147,Breakout Brothers,"$85,037",-,-,"$85,037",100%
148,The Lord of the Rings: The Two Towers 2021 Re-release,"$84,102",-,-,"$84,102",100%
149,Hvernig á að vera Klassa Drusla,"$82,183",-,-,"$82,183",100%
150,2021 Oscar Nominated Short Films: Live Action,"$81,113","$81,113",100%,-,-
151,Belleville Cop 2021 Re-release,"$77,657",-,-,"$77,657",100%
152,My Missing Valentine,"$74,787",-,-,"$74,787",100%
153,The Lord of the Rings: The Fellowship of the Ring 2019 Re-release,"$72,968",-,-,"$72,968",100%
154,Simple Passion,"$72,358",-,-,"$72,358",100%
155,Russia from Above,"$71,629",-,-,"$71,629",100%
156,Son,"$69,739","$55,068",79%,"$14,671",21%
157,Remember the Titans 2021 Re-release,"$65,000","$65,000",100%,-,-
158,Rang De,"$63,235",-,-,"$63,235",100%
159,Come True,"$62,080","$62,080",100%,-,-
160,The Lord of the Rings: The Fellowship of the Ring 2021 Re-release,"$59,827",-,-,"$59,827",100%
161,Mick Fleetwood & Friends celebrate the music of Peter Green,"$59,006",-,-,"$59,006",100%
162,Sing 2021 Re-release,"$53,462","$53,000",99.1%,$462,0.9%
163,Dara of Jasenovac,"$52,786","$52,786",100%,-,-
164,The Wall of Shadows,"$52,104",-,-,"$52,104",100%
165,My Zoe,"$50,820","$50,820",100%,-,-
166,Harry Potter and the Sorcerer's Stone 2021 Re-release,"$50,509",-,-,"$50,509",100%
167,Days of the Bagnold Summer,"$50,118",-,-,"$50,118",100%
168,Last Call,"$48,144","$48,144",100%,-,-
169,Maledetto Modigliani,"$46,035",-,-,"$46,035",100%
170,Reel Rock 15,"$45,854",-,-,"$45,854",100%
171,MLK/FBI,"$45,200","$45,200",100%,-,-
172,A Distant Place 2021 Re-release,"$44,768",-,-,"$44,768",100%
173,Harry Potter and the Deathly Hallows: Part 1 2021 Re-release,"$44,240",-,-,"$44,240",100%
174,Some Kind of Heaven,"$43,492","$43,492",100%,-,-
175,Harry Potter and the Goblet of Fire 2021 Re-release,"$42,124",-,-,"$42,124",100%
176,Little Fish,"$39,053","$39,053",100%,-,-
177,10 Things We Should Do Before We Break Up,"$38,362",-,-,"$38,362",100%
178,Kieu @,"$34,914",-,-,"$34,914",100%
179,The People Upstairs,"$33,404",-,-,"$33,404",100%
180,Honeydew,"$32,890","$32,890",100%,-,-
181,Fighter,"$32,838",-,-,"$32,838",100%
182,"Botticelli, Florence And The Medici","$31,027",-,-,"$31,027",100%
183,Bloody Hell,"$28,037","$28,037",100%,-,-
184,Playhouse,"$27,436",-,-,"$27,436",100%
185,Brave Father Online: Our Story of Final Fantasy XIV 2021 Re-release,"$27,203",-,-,"$27,203",100%
186,Daisy Quokka: World's Scariest Animal,"$26,960",-,-,"$26,960",100%
187,The Night,"$26,114","$26,114",100%,-,-
188,Harry Potter and the Prisoner of Azkaban 2021 Re-release,"$24,638",-,-,"$24,638",100%
189,Fear of Rain,"$24,565",-,-,"$24,565",100%
190,Breaking the Waves 2021 Re-release,"$23,500",-,-,"$23,500",100%
191,The Voice of the Moon,"$23,222",-,-,"$23,222",100%
192,The Redeemers,"$22,283",-,-,"$22,283",100%
193,My Big Mama's Crazy Ride,"$22,004",-,-,"$22,004",100%
194,Big Miracle 2021 Re-release,"$20,846",-,-,"$20,846",100%
195,Korporatsiya Ad Libitum,"$20,779",-,-,"$20,779",100%
196,Beyond the Sky,"$19,761",-,-,"$19,761",100%
197,Kazdy ma swoje lato,"$19,619",-,-,"$19,619",100%
198,The Pinkies Are Back,"$18,962",-,-,"$18,962",100%
199,Dreamfactory 2021 Re-release,"$18,854",-,-,"$18,854",100%
200,Dead Reckoning,"$18,016",-,-,"$18,016",100%
201,Mystery of the Kingdom of God,"$17,119","$17,119",100%,-,-
202,JT LeRoy 2021 Re-release,"$16,549",-,-,"$16,549",100%
203,Senior Moment,"$16,543","$16,543",100%,-,-
204,You Don't Mess with Little Bugs 2021 Re-release,"$13,621",-,-,"$13,621",100%
205,Body Brokers,"$13,472",-,-,"$13,472",100%
206,Stray,"$13,428","$13,325",99.2%,$103,0.8%
207,È per il tuo bene,"$12,023",-,-,"$12,023",100%
208,The Devil Below,"$12,008",-,-,"$12,008",100%
209,Rurangi,"$11,635",-,-,"$11,635",100%
210,The Very Excellent Mr. Dundee,"$11,529",-,-,"$11,529",100%
211,About Hope,"$10,814","$10,814",100%,-,-
212,The Murder of Nicole Brown Simpson 2021 Re-release,"$10,638",-,-,"$10,638",100%
213,The Host,"$10,305",-,-,"$10,305",100%
214,All Hands on Deck,"$10,103",-,-,"$10,103",100%
215,Ramprasad Ki Tehrvi,"$9,727",-,-,"$9,727",100%
216,Easter in Art,"$9,716",-,-,"$9,716",100%
217,Average Joe,"$9,176","$9,176",100%,-,-
218,Here We Are,"$9,128",-,-,"$9,128",100%
